abstract,date,desk,doctype,headline,id,locations,organization,paragraph,snippet,source,subjects,type,url,word_count,abstract_polarity,headline_polarity,snippet_polarity,paragraph_polarity,abstract_subjectivity,headline_subjectivity,snippet_subjectivity,paragraph_subjectivity,abstract_polarity_nba,headline_polarity_nba,snippet_polarity_nba,paragraph_polarity_nba
"Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",2014-01-07,Business,article,Taking Along iCloud Calendars,5c9e779049f0eacbf109e38f,[],"['Apple Inc', 'iCloud', 'Samsung Group', 'Google Inc']","Q. Our family life depends on Apple shared calendars. If I go AWOL and get a non-Apple portable device, can I get access to the calendar? For that matter, can I get access to the calendar on a Windows laptop?","Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",The New York Times,"['Android (Operating System)', 'Smartphones']",Question,https://www.nytimes.com/2014/01/09/technology/personaltech/taking-along-icloud-calendars.html,634,0.36875,0.0,0.36875,0.0,0.66875,0.0,0.66875,0.0,0.707138515766782,0.5656934306569341,0.707138515766782,0.9990290021445972
"In March, Apple and Samsung Electronics are scheduled to go to trial again to fight over smartphone patents. But after discussing settlement opportunities earlier this week, the companies have agreed to meet with a mediator.",2014-01-09,,article,Apple and Samsung Chiefs to Meet a Mediator Ahead of Next Patent Suit,5ca0ac6b49f0eacbf1f508e3,[],"['Apple Inc', 'Samsung Electronics Co']","In March, Apple and Samsung Electronics are scheduled to go to trial again to fight over smartphone patents. But after discussing settlement opportunities earlier this week, the companies have agreed to meet with a mediator.","In March, Apple and Samsung Electronics are scheduled to go to trial again to fight over smartphone patents. But after discussing settlement opportunities earlier this week, the companies have agreed to meet with a mediator.",The New York Times,"['Inventions and Patents', 'Smartphones', 'Suits and Litigation (Civil)']",News,https://bits.blogs.nytimes.com/2014/01/09/apple-samsung-mediation/,146,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.9048412342801079,0.9007275644150824,0.9048412342801079,0.9048412342801079
"Last year was the first in which personal computer shipments fell at a double-digit percentage rate, according to two leading market-research companies.",2014-01-10,,article,"For PC Makers, the Good News on 2013 Is That It Is Over",5ca0b20949f0eacbf1f6da72,[],"['Apple Inc', 'Dell Inc', 'Gartner Inc', 'Hewlett-Packard Company', 'Lenovo Group']","The two leading analysis companies tracking the PC industry just delivered their reports on the fourth quarter of 2013, and it was bad.","Last year was the first in which personal computer shipments fell at a double-digit percentage rate, according to two leading market-research companies.",The New York Times,"['Computers and the Internet', 'Desktop Computers']",News,https://bits.blogs.nytimes.com/2014/01/09/for-pc-makers-the-good-news-on-2013-is-that-it-is-over/,556,0.08333333333333333,0.7,0.08333333333333333,-0.3499999999999999,0.2333333333333333,0.6000000000000001,0.2333333333333333,0.3333333333333333,0.9545325202568915,0.7347003823398598,0.9545325202568915,0.8403797536097263
"A summary of differences in the latest Windows upgrade, and how to share files between Apple devices.",2014-01-10,Business,article,"Changes in Windows 8.1, With Skype Replacing Messaging App",5c9e779049f0eacbf109e391,[],"['Apple Inc', 'Microsoft Corporation', 'Skype Technologies']",Meeting the New Messenger in Windows 8.1,"A summary of differences in the latest Windows upgrade, and how to share files between Apple devices.",The New York Times,"['Windows (Operating System)', 'Mobile Applications', 'Computers and the Internet']",Question,https://www.nytimes.com/2014/01/10/technology/personaltech/changes-in-windows-8-1-with-skype-replacing-messaging-app.html,445,0.5,0.0,0.5,0.13636363636363635,0.9,0.0,0.9,0.45454545454545453,0.9090426459308195,0.5424020796245625,0.9090426459308195,0.6807213353729696
"To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins.",2014-01-13,Business,article,Cost of Cool in India? An iPhone,5c9e916049f0eacbf10fe422,['India'],['Apple Inc'],"BANGALORE, India — After deliberating for months, Abhilash Sathyendra, a 25-year-old equity adviser in Mysore, India, bought his first Apple phone. He paid 9,000 rupees, or $150, upfront for a black iPhone 4s and swiped his credit card for the remainder, six no-interest monthly payments of $62.50.","To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins.",The New York Times,"['iPhone', 'Prices (Fares, Fees and Rates)', 'Smartphones', 'ADVERTISING AND MARKETING']",News,https://www.nytimes.com/2014/01/13/business/international/cost-of-cool-in-india-an-iphone.html,1248,0.1,0.35,0.1,0.04166666666666667,0.4,0.65,0.4,0.3833333333333333,0.9989966449365101,0.8885494596841235,0.9989966449365101,0.9729157716288765
"To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins.",2014-01-13,,article,Daily Report: Apple Makes Its Bid for Bigger Share of Indian Smartphone Market,5ca0b1d649f0eacbf1f6c911,['India'],['Apple Inc'],"After deliberating for months, Abhilash Sathyendra, a 25-year-old equity adviser in Mysore, India, bought his first Apple phone. He paid 9,000 rupees, or $150, upfront for a black iPhone 4s and swiped his credit card for the remainder, six no-interest monthly payments of $62.50, Saritha Rai reports.","To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins.",The New York Times,"['iPhone', 'Smartphones']",News,https://bits.blogs.nytimes.com/2014/01/13/daily-report-apple-makes-its-bid-for-bigger-share-of-indian-smartphone-market/,221,0.1,0.0,0.1,0.04166666666666667,0.4,0.25,0.4,0.3833333333333333,0.9989966449365101,0.898221620045315,0.9989966449365101,0.9847698748211705
"The Windows 8 Calendar app takes a little extra work to print because it cannot do so from the Devices charm, which allows users to quickly send information to other devices.",2014-01-13,Business,article,Printing the Windows 8 Calendar,5c9e77a149f0eacbf109e71e,[],"['Microsoft Corporation', 'Google Inc', 'Apple Inc', 'iTunes']",Q. I use the Windows 8 Calendar app on my computer and would like to print out the monthly view of my schedule to have a paper copy. How do I do this? I press Control+P when I have the calendar page open and nothing happens.,"The Windows 8 Calendar app takes a little extra work to print because it cannot do so from the Devices charm, which allows users to quickly send information to other devices.",The New York Times,"['Computers and the Internet', 'Software', 'Windows (Operating System)', 'Radio']",Question,https://www.nytimes.com/2014/01/16/technology/personaltech/printing-the-windows-8-calendar.html,611,0.005208333333333329,0.0,0.005208333333333329,0.0,0.36875,0.0,0.36875,0.5,0.9927840661025535,0.8784851677743551,0.9927840661025535,0.5897971050628554
"This is not the usual start-up acquisition: The founders had money, recognition and momentum. What they needed was a like-minded giant with some muscle.",2014-01-14,,article,Google and Nest: Two Companies in the Business of Understanding You,5ca0afe649f0eacbf1f627d0,[],"['Apple Inc', 'Google Inc', 'Nest Labs Inc']","Google has announced it is buying Nest Labs, maker of smart thermostats and smoke alarms, for $3.2 billion in cash. At times like this, it’s normal to ask what is in it for each side. ","This is not the usual start-up acquisition: The founders had money, recognition and momentum. What they needed was a like-minded giant with some muscle.",The New York Times,"['Start-ups', 'Thermostats']",News,https://bits.blogs.nytimes.com/2014/01/13/google-and-nest-two-companies-in-the-business-of-understanding-you/,571,-0.125,0.0,-0.125,0.18214285714285713,0.625,0.0,0.625,0.6464285714285714,0.7635913678196529,0.6627094332560387,0.7635913678196529,0.7466324073583743
"Apple is campaigning aggressively against a court-appointed inspector, saying he is intruding on operations.",2014-01-14,,article,Secretive Apple Squirms in Gaze of U.S. Monitor,5ca0ac6749f0eacbf1f5077d,[],['Apple Inc'],"Most companies are reluctant to open themselves to outside inspection. Yet Apple is even resisting someone who was appointed by a court to do exactly that, leading to an unusual public feud between the world’s biggest technology company and the Justice Department.","Apple is campaigning aggressively against a court-appointed inspector, saying he is intruding on operations.",The New York Times,"['Antitrust Laws and Competition Issues', 'APPOINTMENTS AND EXECUTIVE CHANGES']",News,https://dealbook.nytimes.com/2014/01/13/secretive-apple-squirms-in-gaze-of-u-s-monitor/,1207,0.0,0.0,0.0,0.15833333333333333,0.0,0.0,0.0,0.39444444444444443,0.6484895765863345,0.9464710547184778,0.6484895765863345,0.998936343038205
The chairwoman said the F.T.C. settlement was “more robust” and more thorough than an earlier lawsuit settlement.,2014-01-15,Business,article,Apple to Refund App Store Purchases Made Without Parental Consent,5c9e77ad49f0eacbf109e9ac,[],"['Federal Trade Commission', 'Apple Inc']",An agreement between federal regulators and Apple may make parents wince a little less at the sight of their children staring at an iPhone.,The chairwoman said the F.T.C. settlement was “more robust” and more thorough than an earlier lawsuit settlement.,The New York Times,"['Mobile Applications', 'Consumer Protection', 'Rebates and Refunds']",News,https://www.nytimes.com/2014/01/16/technology/government-and-apple-settle-childrens-app-purchase-inquiry.html,800,0.3333333333333333,0.0,0.3333333333333333,-0.17708333333333331,0.5,0.0,0.5,0.2833333333333333,0.9540182622263592,0.6490629292840578,0.9540182622263592,0.9106847386940916
